,Compound,Date,Negative,Neutral,News Source,Positive,Tweet Count,Tweet Text
62,-0.4215,Sun Mar 18 10:00:08 +0000 2018,0.259,0.741,BBC,0.0,63,"“I regret spending £50,000 on my wedding.” https://t.co/6PxJsDf9dn https://t.co/eJdx7KMmmK"
63,0.0,Sun Mar 18 09:30:03 +0000 2018,0.0,1.0,BBC,0.0,64,"How to be 20 on the inside, even when you’re 80 on the outside... https://t.co/KB2mqpkrIB"
64,0.656,Sun Mar 18 09:19:33 +0000 2018,0.061,0.727,BBC,0.212,65,"RT @BBCNews: Snow and ice are bringing disruption to many parts of the UK - but they're not stopping everyone from having fun 🐶❄️

https://…"
65,0.0,Sun Mar 18 09:10:02 +0000 2018,0.0,1.0,BBC,0.0,66,"RT @bbc5live: The beast from the east is back ❄️🌨️

You've been in touch this morning with your #uksnow pics, here are just a few...

What'…"
66,0.0,Sat Mar 17 20:02:01 +0000 2018,0.0,1.0,BBC,0.0,67,"These seven celebrities are about to go on the journey of a lifetime... #Pilgrimage
https://t.co/m45UBXJew2"
67,0.0,Sat Mar 17 19:21:02 +0000 2018,0.0,1.0,BBC,0.0,68,Can we just take a moment to discuss Eddie Redmanyne's coats?https://t.co/odVkhWyRKs
68,0.0,Sat Mar 17 18:32:01 +0000 2018,0.0,1.0,BBC,0.0,69,"Ouch! 😂🔥@GordonRamsay's daughter is hilarious... 
https://t.co/0dqwntX5uj"
69,0.3612,Sat Mar 17 18:03:04 +0000 2018,0.0,0.857,BBC,0.143,70,"🐜1⃣2⃣3⃣Sir David Attenborough explores whether there is counting in the natural world. 

David Attenborough's Natur… https://t.co/Q4H4uXR4pt"
70,0.3182,Sat Mar 17 17:30:07 +0000 2018,0.0,0.901,BBC,0.099,71,One of the writers for The Simpsons has told @BBCNewsbeat Stephen Hawking was such a big fan of the show - he'd sho… https://t.co/Jjer3V4cYk
71,0.4767,Sat Mar 17 17:00:08 +0000 2018,0.0,0.785,BBC,0.215,72,"🎓📚 'The moment I gave Reese Witherspoon my Legally Blonde dissertation... and yes, it was scented.'
👉… https://t.co/z8x5mqqKoW"
72,0.0,Sat Mar 17 16:39:39 +0000 2018,0.0,1.0,BBC,0.0,73,RT @BBCWorld: Blossom in south-west China captured by drone https://t.co/gIDKUn1La6
73,0.0,Sat Mar 17 15:03:12 +0000 2018,0.0,1.0,BBC,0.0,74,"This year, over 250 landmarks across the globe are going green for #StPatricksDay! 🍀 https://t.co/TlWqU0TXQT https://t.co/i4sW4OaGrQ"
74,0.0,Sat Mar 17 14:43:43 +0000 2018,0.0,1.0,BBC,0.0,75,"RT @BBCRadio3: ""Even if we found a complete theory of the universe, it wouldn't remove the need for music"" - #StephenHawking
https://t.co/t…"
75,0.8625,Sat Mar 17 14:00:30 +0000 2018,0.0,0.699,BBC,0.301,76,⛷❤️ George has autism and other health conditions - but his love of skiing is helping him take on the outside world. https://t.co/kfCzRzkcNY
76,0.3628,Sat Mar 17 13:46:15 +0000 2018,0.073,0.784,BBC,0.143,77,"RT @5liveSport: 'My mates didn't know I was playing @realmadrid'

@ManUtd's @carras16 tells @ColinMurray his friends keep him grounded…

'A…"
77,0.4019,Sat Mar 17 13:00:08 +0000 2018,0.0,0.881,BBC,0.119,78,"Yes, Gary Oldman and @BBCEastEnders' Big Mo are brother and sister. 

But do you know these other celeb family ties… https://t.co/dtzMwD3nBB"
78,-0.7244,Sat Mar 17 12:39:41 +0000 2018,0.336,0.664,BBC,0.0,79,"RT @BBCOne: .@NiallOfficial won't let fame get to his head - Ireland won't allow it. 

Happy #StPatricksDay 🍀 https://t.co/OrWR94HStF"
79,0.5106,Sat Mar 17 12:00:09 +0000 2018,0.112,0.643,BBC,0.245,80,♻️🗑 This shop encourages you to bring your own container from home to save on single-use plastic waste. https://t.co/TdHJSycKtO
80,0.8883,Sat Mar 17 11:30:09 +0000 2018,0.0,0.488,BBC,0.512,81,🇮🇪 🍀 Celebrate #StPatricksDay in true Irish style with these delicious recipes! 👉https://t.co/2MCMlz6K0B https://t.co/k18P3Syx2N
81,0.6249,Sat Mar 17 11:03:05 +0000 2018,0.0,0.796,BBC,0.204,82,From scrambled eggs to chilli-spiced crisps: here are six great ways to cook with kale. 😋👉https://t.co/lqKD1h83Iv https://t.co/yWESBJm62q
82,0.6996,Sat Mar 17 10:14:25 +0000 2018,0.066,0.658,BBC,0.276,83,RT @BBCTwo: Happy #StPatricksDay! Check out what's lurking beneath the calm waters of Ireland's west coast... 🇮🇪🦈 https://t.co/6MQgyLTlIr
83,0.0,Sat Mar 17 10:00:02 +0000 2018,0.0,1.0,BBC,0.0,84,"🎶🐦 Did you know that bullfinches can learn to sing a tune by mimicking humans?

🔊 Sound on for this one!  https://t.co/44OFulioZp"
84,-0.7717,Sat Mar 17 09:39:19 +0000 2018,0.251,0.749,BBC,0.0,85,"RT @BBCEngland: Stephen Hawking's PhD thesis has been viewed 250,000 times online since news of his death broke on Wednesday, the Universit…"
85,0.6369,Sat Mar 17 09:00:06 +0000 2018,0.0,0.714,BBC,0.286,86,"Ready to get active?
🏃 Here are 5 ways you can get involved in #SportRelief2018. 
👉 https://t.co/wmKUWBDBjp https://t.co/xr7g5Hw4PK"
86,0.7783,Fri Mar 16 19:38:34 +0000 2018,0.0,0.726,BBC,0.274,87,"RT @BBCR1: This guy just raised over a million pounds for @sportrelief 🙌🏻

Congratulations on completing a truly mammoth task @gregjames, w…"
87,0.4926,Fri Mar 16 18:31:01 +0000 2018,0.0,0.61,BBC,0.39,88,💪😲⚽️ Keepy-uppy the good work! https://t.co/lFtKEBxjNJ
88,0.5719,Fri Mar 16 17:00:25 +0000 2018,0.0,0.791,BBC,0.209,89,❤️🎧 Bradley has never let Asperger's hold him back from doing what he loves. https://t.co/5JFvIXeDSZ
89,0.0,Fri Mar 16 16:30:01 +0000 2018,0.0,1.0,BBC,0.0,90,"Running for the door on a Friday afternoon like...
#FridayFeeling https://t.co/optoQcK1TV"
90,0.0,Fri Mar 16 16:00:00 +0000 2018,0.0,1.0,BBC,0.0,91,🔊🎵Jarvis Cocker describes the dream-like experience of visiting La Monte Young's Dreamhouse.… https://t.co/O9u7sPRL5m
91,0.0,Fri Mar 16 14:25:15 +0000 2018,0.0,1.0,BBC,0.0,92,"RT @BBCR1: The gruelling task of climbing Ben Nevis in underway for @gregjames after cycling 180 miles in a day and a half!

Don't know abo…"
92,0.34,Fri Mar 16 14:00:13 +0000 2018,0.0,0.841,BBC,0.159,93,Prepare to get that warm fuzzy feeling - the man who photobombed his wife 11 years before he met her:… https://t.co/iZBJ8dEKhz
93,0.6124,Fri Mar 16 12:59:01 +0000 2018,0.0,0.667,BBC,0.333,94,🤔🎨 Why are soap bubbles such gorgeous colours? https://t.co/ppaXTcvWRZ
94,0.3612,Fri Mar 16 12:38:40 +0000 2018,0.0,0.902,BBC,0.098,95,"RT @BBCNewsPR: Get ready to make the headlines. 

Try out our new BBC iReporter game, putting you in the heart of the newsroom #BBCSchoolRe…"
95,-0.6486,Fri Mar 16 12:00:04 +0000 2018,0.238,0.762,BBC,0.0,96,"😂 Fights, funerals, and giant furry heads... @BBCThree lifts the lid on the lives of English football's mascots
👉… https://t.co/gEYxoetlah"
96,0.5574,Fri Mar 16 10:45:24 +0000 2018,0.0,0.841,BBC,0.159,97,"RT @BBCRadio2: It's with a heavy heart that today we announce, after 18 fantastic years, @realLynnBowles is leaving Radio 2. 😢

@realkenbru…"
97,0.0,Fri Mar 16 10:02:00 +0000 2018,0.0,1.0,BBC,0.0,98,Are you getting enough sleep? This simple test will tell you... 🥄😴#WorldSleepDay https://t.co/SP28dsdLSf
98,0.4939,Fri Mar 16 09:35:56 +0000 2018,0.0,0.814,BBC,0.186,99,"RT @bbcthree: the dancing in taylor swift's new video seems pretty familiar 

CC @ChrisLilley https://t.co/MfA9usnqSb"
99,0.6486,Fri Mar 16 09:35:50 +0000 2018,0.0,0.813,BBC,0.187,100,"RT @BBCEngland: Oscar-winning British short film The Silent Child is to be shown on BBC One on Good Friday, giving UK viewers the first cha…"
100,0.8883,Tue Mar 20 17:26:13 +0000 2018,0.0,0.439,CBC,0.561,1,@dluthor2 @cbcdocs Hope that clip helps put a smile on your face today. Enjoy!
101,0.9258,Tue Mar 20 17:23:14 +0000 2018,0.0,0.509,CBC,0.491,2,"@PIPAnimation Love it! Working in character - very ""method"" of all of you! Thanks for sharing a pic :) #PiratesPassage"
